fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7616293082670523,-0.40874361991882324,125.0,54.0,71.0,46.0,22.549696961102725,2.0477683169263105e-06,0.7736939507804967,0.7820186973532408,4.236195417141673,2.2197959134477907,8.084234908036821,1.1956209635139418e-05
1,0.7126794258373206,-0.009592556394636631,124.0,65.0,59.0,46.0,20.892402986975437,4.85817541398427e-06,0.7884812841764971,0.7419760560038714,4.473370385648772,2.2148982314311114,9.034745851176066,2.9511631581753225e-05
2,0.7266832917705736,-0.7595688104629517,124.0,57.0,67.0,46.0,22.022670415163063,2.6944900483306826e-06,0.7323807091154626,0.7596321974561555,4.295885627943623,2.2160510114818965,8.327711425754485,1.5881385296723393e-05
3,0.6893865628042843,-1.0221235752105713,124.0,69.0,55.0,46.0,19.24336054771316,1.1506986384319728e-05,0.7180714138195138,0.7107905250504765,4.711993794685114,2.195313428918092,10.113765637598814,6.956623798233024e-05
4,0.7763702801461632,0.23826394975185394,124.0,65.0,59.0,46.0,23.42179836495009,1.3009596768965854e-06,0.8338949591510749,0.8072542310416713,5.417813801369106,2.518918144937993,11.652902038636162,1.5309365790991916e-05
mean,0.7333497737650788,-0.3923529224470258,124.2,62.0,62.2,46.0,21.625985855180897,4.481675968091515e-06,0.769304463408609,0.7603343413810831,4.627051805357658,2.2729953460433765,9.442671972240472,2.844496605738764e-05
