fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7129428778018799,-0.35443806648254395,125.0,57.0,68.0,46.0,23.344956313056358,1.3539807691283031e-06,0.7155993928765277,0.74153588244897,4.445243844833254,2.295303732773813,8.608966455236084,9.701700877865006e-06
1,0.6885167464114833,-0.7529858350753784,124.0,71.0,53.0,46.0,12.071789142468905,0.0005119055070113866,0.7277095801967631,0.6998926482366848,3.239377005297845,1.6057814207884635,6.534864114506901,0.0010281678250629793
2,0.7359102244389027,-0.5077414512634277,124.0,63.0,61.0,46.0,15.867087176541277,6.795020944752964e-05,0.7697740572113206,0.7582276972633218,3.669788117091871,1.853021346793418,7.267776406166836,0.0001920976492304755
3,0.686222005842259,-1.2889236211776733,124.0,63.0,61.0,46.0,15.741285673366752,7.26217041348631e-05,0.7126866355793441,0.7190275540842819,3.5044888229496114,1.8109570153026002,6.781741259676776,0.00019687200161916979
4,0.743727161997564,-0.45493361353874207,124.0,59.0,65.0,46.0,23.872278520783087,1.0294355886609084e-06,0.8114843287970663,0.759521522526387,4.937543582109063,2.4345942613991682,10.013716458534459,9.58501342980178e-06
mean,0.7134638032984177,-0.6718045175075531,124.2,62.6,61.6,46.0,18.179479365243274,0.00013097216739031372,0.7474507989322043,0.735641060911929,3.9592882744563282,1.9999315554114925,7.841412938824211,0.0002872848380440583
