fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7018158649251354,-1.9887323379516602,113.0,55.0,58.0,38.0,13.573320799300781,0.00022942313522875417,0.7295598367875331,0.7383319896811993,3.4644736832761582,1.7141771774436563,7.0019470916142135,0.0005378338081785867
1,0.7721435627263747,-0.5512017011642456,113.0,54.0,59.0,39.0,16.390562213028034,5.154122447512167e-05,0.8172224643213171,0.8040741142944436,3.9729442459869984,1.9323347069239356,8.168505137936503,0.00017598958434431993
2,0.7050847457627119,-0.08645285665988922,112.0,50.0,62.0,38.0,18.57920586148671,1.6298877315349554e-05,0.7303890521298335,0.7265524969665159,4.167848045885772,2.0615657723455434,8.426099019790216,7.058354717147378e-05
3,0.7160371106693174,-0.2015773355960846,112.0,52.0,60.0,38.0,10.424368171358783,0.0012436339640140056,0.7201623402205177,0.7022917665346498,2.939437359891924,1.4801677446267327,5.837373516680237,0.0020680263403011537
4,0.6672268907563025,-1.8492155075073242,112.0,71.0,41.0,38.0,6.294493121144271,0.012111364606396372,0.7193221210760091,0.6587567031989747,2.621398397669527,1.1981523287448939,5.73527204717178,0.01584238481947774
mean,0.7124616349679683,-0.9354359477758407,112.4,56.4,56.0,38.2,13.052390033263714,0.0027304523614859206,0.7433311629070422,0.7260014141351567,3.4332203465420763,1.6772795460169523,7.033839362638591,0.0037389636198946552
