fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7162349676225717,-0.6081272959709167,128,66,62,49,21.46203354777186,3.6090398670937733e-06,0.7316764830413888,0.7486268785734285,4.76596244982945,2.3028128290276575,9.863762172445115,2.5808380628148504e-05
1,0.7553475935828877,-1.6296741962432861,128,58,70,49,34.24192609284172,4.866904338633966e-09,0.7877505735177106,0.8015571157384009,5.947949343447671,3.024080781912705,11.698795086367777,2.387387446772771e-07
2,0.6067726330338632,-0.1518373042345047,127,80,47,48,0.9426845526263714,0.33158839838100407,0.6361216337674563,0.5742902241592701,1.3580936336431109,0.731771747962076,2.520483091727032,0.3319722585355981
3,0.7203932327389118,-0.09838356077671051,127,64,63,48,9.272195534535728,0.0023265864684731186,0.8075248487618347,0.7206873094445495,2.4719122773346127,1.3527350345500098,4.51703412033696,0.003258777357794326
4,0.7577594568380214,0.1749407947063446,127,62,65,49,26.196965444041744,3.0830663411228635e-07,0.7993688525616325,0.7839689452678902,4.726101155619059,2.4569336305125486,9.091019739301714,3.2691854079707697e-06
