fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.5911193339500462,-0.033459972590208054,128.0,63.0,65.0,49.0,3.240508165865222,0.07183835316677432,0.5953684970416977,0.5685876699120238,1.6742824847083502,0.9500412653700142,2.950631662835604,0.0746362940442801
1,0.5298573975044564,-0.4215714931488037,128.0,68.0,60.0,49.0,0.3310151540587341,0.5650619391371821,0.5276778465718914,0.5129097115403358,1.1823001335258478,0.6678588702594866,2.093007472060872,0.5655121700828554
2,0.6242801197880673,-0.2614666223526001,127.0,57.0,70.0,48.0,2.4304303364432362,0.11900022603638484,0.6992103416922616,0.6224937948032329,1.5681603439538803,0.8860848345609378,2.7752724890817815,0.12241520848262806
3,0.604023776863283,0.12762145698070526,127.0,68.0,59.0,48.0,6.617995725260949,0.010095338037300934,0.6421969744070365,0.6154996248406195,2.158417164732056,1.1829061572081079,3.9384059577520274,0.01216258643699744
4,0.6389427740058196,-0.23513942956924438,127.0,63.0,64.0,49.0,10.623977228810148,0.0011163069284387981,0.6694814986208897,0.6530066105009233,2.5860256945856888,1.4303095845107474,4.675581402431092,0.0016643429652065495
mean,0.5976446804223345,-0.1648032121360302,127.4,63.8,63.6,48.6,4.648785322087657,0.1534224326612162,0.6267870316667554,0.5944994823194272,1.8338371643011648,1.0234401423818587,3.2865797968322754,0.1552781204023935
