fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7091430391844536,-0.00932585820555687,113,45,68,38,21.195379929803465,4.147631199359197e-06,0.7363617864030819,0.75249785469457,4.391525134455992,2.2079205359662866,8.734686186574418,2.469422002668466e-05
1,0.7490945011524531,-1.2260109186172485,113,50,63,39,28.304896722891666,1.0363350010029647e-07,0.7871454779742509,0.7555711743284979,5.983446728211768,2.8329266986418986,12.63768482485317,2.7370570459026063e-06
2,0.7084745762711865,0.9235696792602539,112,53,59,38,18.39449370027669,1.795761634919759e-05,0.7182645003869874,0.7505356317371432,4.490086974350986,2.1193897743161547,9.512587671015604,8.820738845124975e-05
3,0.705765407554672,-0.4366361200809479,112,55,57,38,5.096426496070382,0.023975187267673073,0.6973579404707488,0.6992270398636238,2.1332414203411276,1.0881209913664192,4.182181019910681,0.027394973657210452
4,0.6752941176470588,0.6019314527511597,112,73,39,38,7.95687258569351,0.0047905118642678265,0.7173100103229704,0.6573482740089186,3.077478051300128,1.3519079838820116,7.005559009303555,0.007397979141430206
