fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6801638949144372,-0.6608915328979492,125.0,60.0,65.0,46.0,15.296611400984936,9.18811847949535e-05,0.6760566181036312,0.6653821001709285,3.3606077635681615,1.7643790792800742,6.400939952860244,0.0002267802819614695
1,0.6169856459330143,-0.3753506541252136,124.0,70.0,54.0,46.0,9.87437778031802,0.0016759626402696112,0.6356798234036805,0.6130136543738229,2.7576945761388334,1.4256675985747194,5.334258408389414,0.002582446237109455
2,0.6915211970074813,-0.22406938672065735,124.0,60.0,64.0,46.0,12.419049809396915,0.0004249764134039298,0.6962940598984959,0.6839402527464523,2.9410241465135063,1.5677143218144125,5.51734643870878,0.000777547913024857
3,0.6399707887049659,0.04879748821258545,124.0,64.0,60.0,46.0,7.902541491745403,0.004936538909655391,0.7205695875712583,0.6614131591710031,2.3335431605396018,1.2683976072849281,4.293151966564624,0.006442986387854151
4,0.6416565164433617,-1.4068868160247803,124.0,58.0,66.0,46.0,6.559787677479253,0.010430881128079036,0.7011625760386,0.6307029069802605,2.1319568498020685,1.1774704253350081,3.860173395119262,0.012443440043893646
mean,0.654059608600652,-0.523680180311203,124.2,62.4,61.8,46.0,10.410473631984905,0.003512048055240584,0.6859525330031332,0.6508904146884935,2.704965299312434,1.4407258064578283,5.081174032328465,0.004494640172768715
