fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.73877030901561,-0.5057215690612793,113,50,63,38,21.1397799451962,4.269722002813416e-06,0.746933143362812,0.786628837130406,4.534691284244871,2.2399943831622675,9.1801234851207,2.6558437354944926e-05
1,0.776753375041159,0.2219824343919754,113,53,60,39,20.511000517576218,5.9289527124388985e-06,0.8267688418224999,0.8074713597952096,4.793315800632336,2.269243826277139,10.124904207532966,3.994775276069714e-05
2,0.7050847457627119,0.07122169435024261,112,57,55,38,18.069316212628753,2.1300657166138465e-05,0.734440803229145,0.7145639514127632,4.453734423896934,2.099539667438198,9.447666374795196,9.898516213768113e-05
3,0.6766070245195493,-0.31842756271362305,112,47,65,38,6.048586623749859,0.013917432868984848,0.6841584685147991,0.6647166335275131,2.2041201788788403,1.1552241195253685,4.205370785486104,0.016497019489010903
4,0.6850420168067227,0.10766859352588654,112,74,38,38,6.767780693649215,0.009281818624784529,0.7232315092631048,0.6599783176605365,2.8405857265383063,1.2476148459058791,6.467482569874679,0.01288355387090586
