fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7648932781140491,-0.7250288128852844,113,55,58,38,18.91492596311894,1.3667909082744476e-05,0.7798324129382895,0.7903617751418559,4.567174282561805,2.1558286035750727,9.675667579835762,7.324202610506074e-05
1,0.7764241027329601,0.22406034171581268,113,55,58,39,21.38488680948455,3.7572122178056282e-06,0.8211768857867024,0.8282133120776826,5.2070304029356915,2.3875352287303517,11.35613216962454,3.3621187401174e-05
2,0.76,0.2207004427909851,112,57,55,38,22.080470370277585,2.614562459188533e-06,0.7980124863411959,0.8390592218105261,5.736094619934066,2.5199507810301927,13.056914339963978,3.15111565122401e-05
3,0.7296222664015904,-1.4852075576782227,112,53,59,38,19.20303200659178,1.1752657402861222e-05,0.7707077268448358,0.7150276775592274,4.430354063507732,2.1424431697246575,9.161520550653405,5.932878717663184e-05
4,0.6443697478991597,0.30349260568618774,112,66,46,38,4.586773712574239,0.03221960797055638,0.7360883779091683,0.6700071688079648,2.1231722471170964,1.050239567659895,4.292221060545748,0.036041970459928206
