fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7609062424680646,-0.7519827485084534,125.0,51.0,74.0,46.0,26.318073349021418,2.895662058383961e-07,0.772681568986486,0.7748791696939246,4.676492287550029,2.4503397554210853,8.925121533506143,2.90022010029761e-06
1,0.7131578947368421,-0.18383930623531342,124.0,66.0,58.0,46.0,21.116341382272736,4.322264884308844e-06,0.7811258618282745,0.7312562268213417,4.723796910241156,2.276544642646999,9.801809650988664,3.0614747008665424e-05
2,0.7219451371571073,-0.39133530855178833,124.0,58.0,66.0,46.0,27.880185075016055,1.290647584171523e-07,0.7274991811317493,0.7618072745051414,5.447660642018664,2.693655978622793,11.01737070588071,2.387094809742268e-06
3,0.6850048685491723,-0.8575730919837952,124.0,64.0,60.0,46.0,22.28848647163034,2.346090644280685e-06,0.7120806268303008,0.704758517290255,4.899613487916629,2.3601396947605098,10.171521789268727,2.0066145332477624e-05
4,0.7827040194884287,-0.9129897952079773,124.0,63.0,61.0,46.0,33.417413451890425,7.435522410764654e-09,0.8370790104141568,0.8125503207434863,8.382820701832015,3.5450374428167595,19.822550269942436,1.2850363541573295e-06
mean,0.732743632479923,-0.6195440500974655,124.2,60.4,63.8,46.0,26.2040999459662,1.4188844030511684e-06,0.7660932498381935,0.7570503018108299,5.626076805911699,2.6651435028536294,11.947674789917338,1.145064872106805e-05
