fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7333545715195923,-0.6557789444923401,113,53,60,38,17.052454126627975,3.6361352899157894e-05,0.739518643973375,0.7828883466676727,3.964460648319479,1.958906588526177,8.023327056089322,0.00012850646274892535
1,0.7635824827132038,0.29773393273353577,113,56,57,39,25.769079026545565,3.848041765853462e-07,0.8047421392280184,0.7775066848198382,6.383933136331407,2.811424418444779,14.496068975489212,9.405310145607295e-06
2,0.7071186440677966,0.033861592411994934,112,55,57,38,12.839165350238467,0.0003394389901710421,0.7344762410991916,0.7225360447909923,3.3721986937102453,1.6662130712009833,6.824891861918059,0.0007266388437318057
3,0.6752816434724983,-0.3025285601615906,112,50,62,38,4.811963298762106,0.028262828034437283,0.6789000490039768,0.6690523535687909,2.0476475048365264,1.064996066959172,3.9369725712085573,0.03165327439509811
4,0.6776470588235294,-0.2018677294254303,112,76,36,38,7.248450257032135,0.007096222961629213,0.7169177310154797,0.6405675401701416,3.1173763470045133,1.3016915876112896,7.465697236852083,0.010720085564646814
