fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7354345749761223,-0.6747115850448608,113.0,59.0,54.0,38.0,15.558252712704176,8.000166345059135e-05,0.7546441831634103,0.7811732474901646,4.0326610135559315,1.9056197208460348,8.533893028265881,0.00026647275063923997
1,0.7914276071549106,-1.024146556854248,113.0,61.0,52.0,39.0,18.62462241035736,1.5915168777892167e-05,0.8503269882386542,0.812843600946391,5.043147043940718,2.218942264960194,11.461917017144314,0.00011213751869185662
2,0.7300380228136882,-0.7898403406143188,112.0,54.0,58.0,38.0,17.609049224058232,2.7129434262506997e-05,0.7230238201842701,0.7785301539159432,4.355128218781507,2.058223539452141,9.215297288396412,0.00011929150906789883
3,0.6703400503778337,-0.04727969318628311,112.0,63.0,49.0,38.0,6.589845360945953,0.010256207998756832,0.6747847463718053,0.6623728864922876,2.493160864485239,1.2100635725720357,5.136797137846865,0.013251355982620906
4,0.7355371900826446,-1.2601505517959595,112.0,62.0,50.0,38.0,11.353832120936513,0.0007529245227066859,0.7973090388709605,0.7843314141738068,3.2699105775407564,1.5786219902962608,6.773195388660644,0.0014288164890362786
mean,0.73255548908104,-0.759225745499134,112.4,59.8,52.6,38.2,13.947120365800448,0.0022264357575909016,0.7600177553658202,0.7638502606037185,3.8388015436608307,1.7942942176253331,8.224219972062823,0.0030356148500112357
