fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6854663774403471,-0.6447123289108276,125.0,48.0,77.0,46.0,10.86702484736734,0.0009789166277439918,0.6997247795236706,0.6913633015452167,2.58921119660668,1.440955965263299,4.652477093155586,0.0014641860585281727
1,0.6889952153110048,-1.3741652965545654,124.0,71.0,53.0,46.0,19.782738934756512,8.67626862531276e-06,0.7213570644765311,0.7050115101256165,4.809398820302188,2.239749628179022,10.327188682928663,5.624242323362444e-05
2,0.6802992518703241,-0.9409714937210083,124.0,65.0,59.0,46.0,13.956471496500516,0.00018709249063430508,0.6956063834178141,0.7033062069756375,3.389859843254082,1.7173715005149264,6.6911263832322545,0.00043364761931044543
3,0.6621226874391432,-0.7343292236328125,124.0,67.0,57.0,46.0,16.003341217925435,6.323079383379245e-05,0.6917048484330384,0.6820068212487034,3.7986199137783525,1.8808158557502086,7.671943643625815,0.00019817683738368016
4,0.7400730816077954,-0.8890721797943115,124.0,59.0,65.0,46.0,11.59010870790382,0.0006630353621158089,0.8222786805584251,0.7375300358277048,2.8153285327620243,1.5114960204107533,5.243860810979867,0.0011074101133142517
mean,0.691391322733723,-0.9166501045227051,124.2,62.0,62.2,46.0,14.439937040890726,0.00038019030859064217,0.7261343512818959,0.7038435751445757,3.480483661340666,1.7580777940236416,6.9173193227844365,0.0006519326103540349
