fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.73877030901561,-1.0918177366256714,113,54,59,38,19.331263601048246,1.0989224075379102e-05,0.7545485473576382,0.7750871516165655,4.636233075939842,2.1876086934244965,9.825640755152941,6.262636093610196e-05
1,0.7589726703984195,-0.8009315729141235,113,52,61,39,23.318885222633654,1.3724579261629959e-06,0.7730419460338611,0.7972304212138894,5.966710441605598,2.622768778131824,13.574064854975141,2.0519879798207873e-05
2,0.7155932203389831,0.18661445379257202,112,57,55,38,9.381214285574949,0.0021922029335870188,0.7418792839698871,0.7633768694421642,2.9510207496357816,1.4284145942927997,6.096635738374315,0.003465393049385935
3,0.7113982770046389,-0.587494969367981,112,44,68,38,14.373293240451424,0.00014991353560674933,0.7598038821276298,0.6918075109933984,3.3039451496533796,1.7177930874129705,6.354696401973464,0.00034200636164970547
4,0.6440336134453781,0.11332198232412338,112,65,47,38,3.1992691930544512,0.07367118336661978,0.7267992990448914,0.6498117030012089,1.8790698793431078,0.9293884733152283,3.7991687145197846,0.0790722597231712
