fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7317617075501752,-0.6196678876876831,113,53,60,38,17.052454126627975,3.6361352899157894e-05,0.7400698826761061,0.7823205785036462,3.964460648319479,1.958906588526177,8.023327056089322,0.00012850646274892535
1,0.7662166611787948,0.30130720138549805,113,55,58,39,26.333730703899544,2.8722822451229826e-07,0.8078971343417721,0.7854610518005488,6.481382862189179,2.854945645758049,14.714228927158958,7.90378714123136e-06
2,0.7067796610169491,0.036543138325214386,112,55,57,38,12.839165350238467,0.0003394389901710421,0.7334960586286348,0.7215324999067051,3.3721986937102453,1.6662130712009833,6.824891861918059,0.0007266388437318057
3,0.6752816434724983,-0.3044314980506897,112,50,62,38,4.811963298762106,0.028262828034437283,0.679442444089252,0.6701974177810508,2.0476475048365264,1.064996066959172,3.9369725712085573,0.03165327439509811
4,0.6779831932773109,-0.2761111855506897,112,74,38,38,7.332366520611318,0.006772382878221698,0.7169680575015717,0.6576316633035919,2.9523496424118765,1.2972466417879833,6.719129678405522,0.009873846523267407
