fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7652118509079324,-0.8542749881744385,113,56,57,38,21.29752496631276,3.932388937016478e-06,0.7802441193294977,0.796048481572089,5.215702062400809,2.3847643118867485,11.407227065642173,3.5243518585572306e-05
1,0.7737899242673691,0.22020316123962402,113,54,59,39,22.93779351107126,1.6732937423513576e-06,0.8157793438037692,0.8237027713287639,5.471104522661388,2.507638823369982,11.936720878192244,1.957794025951579e-05
2,0.7488135593220339,-1.0359890460968018,112,56,56,38,10.727603744948079,0.0010554904244693979,0.7751958788615658,0.7965131148482487,3.1527109477146325,1.5276118550103805,6.506617690376693,0.0018956654061685371
3,0.7276341948310139,-1.1431471109390259,112,52,60,38,16.57188719989953,4.6840238799357694e-05,0.7682904088633249,0.7156802248769611,3.901068400288642,1.9268951528447742,7.897853000077862,0.00015521554606965425
4,0.6450420168067227,-0.19821207225322723,112,62,50,38,1.879819937986354,0.17035461436954047,0.7179493401554,0.6637531037286561,1.5915979838828855,0.8119856691408766,3.119739964105903,0.17591955807034632
