fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6600370027752082,-0.09023034572601318,128.0,57.0,71.0,49.0,8.692664168014018,0.003194932882204267,0.6454439203491831,0.6808767283277708,2.3170395059564513,1.3031678499088009,4.119708809988391,0.004212537788878939
1,0.5294117647058824,-0.044324230402708054,128.0,65.0,63.0,49.0,0.8727931750712509,0.3501831986230102,0.5287622311092306,0.5201034335309224,1.3100152690917803,0.7421529921610273,2.3123803627827364,0.3516386652320759
2,0.6028564846809491,0.1720895916223526,127.0,70.0,57.0,48.0,2.1924610213216167,0.1386875664397609,0.6541536995898476,0.5807131013249084,1.5622551768148456,0.8609118533236354,2.8349490462495632,0.14227397557223417
3,0.6165980795610425,-0.21643762290477753,127.0,63.0,64.0,48.0,4.547709305626401,0.0329628176203152,0.6368673668987856,0.6067836355568796,1.8735861123643165,1.0420633309350478,3.3686291573992957,0.03593876797412361
4,0.6464597478176528,0.18138030171394348,127.0,57.0,70.0,49.0,18.38280618521179,1.8068103918052742e-05,0.6831952711743287,0.6660314232913862,3.3874400700922256,1.8745454710894858,6.121350698309441,5.3143676659551954e-05
mean,0.611072615908147,0.0004955388605594635,127.4,62.4,65.0,48.6,6.937686771049016,0.1050093167338417,0.629684497824275,0.6109016644063734,2.0900672268639235,1.1645682994835995,3.751403614945885,0.10682341804879443
