fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7307785008435768,-0.1483009308576584,125.0,55.0,70.0,46.0,16.699093905067663,4.3801914103971095e-05,0.744895395736587,0.7415136818200598,3.3853257634790084,1.8209173850158953,6.29376742689218,0.00011606923837963204
1,0.657177033492823,-1.369989275932312,124.0,68.0,56.0,46.0,9.371115461965053,0.0022043133890608047,0.6755882892075792,0.6655371554840768,2.685802049304788,1.389945487983906,5.189795362775639,0.003285624601316844
2,0.727930174563591,-0.6974642872810364,124.0,61.0,63.0,46.0,26.751149354625444,2.3141404643976235e-07,0.734597608914383,0.7609689436244985,5.589316124238924,2.687308217387836,11.625184835345806,4.1111944070381684e-06
3,0.6966893865628043,-0.5044031143188477,124.0,64.0,60.0,46.0,10.867254461484762,0.0009787952660484417,0.7254871476758653,0.7172057327834721,2.8128049463613043,1.4783430816959313,5.351850841820999,0.001626720136655451
4,0.7544457978075517,0.27611368894577026,124.0,63.0,61.0,46.0,21.083842134791112,4.396194722034263e-06,0.8098933749322009,0.7720510574870171,4.755036386576366,2.2859039012678797,9.891216785239463,3.0151642465764853e-05
mean,0.7134041786540692,-0.4888087838888168,124.2,62.2,62.0,46.0,16.954491063586808,0.0006463076355963383,0.7380923632933232,0.7314553142398249,3.8456570539920776,1.9324836146702897,7.670363050414818,0.001012535362644946
