fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6590743881754301,-0.15721669793128967,125.0,70.0,55.0,46.0,6.193573911484948,0.012821499772842767,0.6853104689126762,0.6804648383401551,2.179369147665691,1.1618631925816714,4.087959677286371,0.01520606201498629
1,0.7129981024667932,0.20343291759490967,124.0,53.0,71.0,46.0,12.783911055193009,0.0003496132193779073,0.7570042564073776,0.7204577648279722,2.816348835622597,1.5562680922276855,5.0966930463497,0.0006229105449373976
2,0.6539559014267186,0.30664098262786865,124.0,69.0,55.0,46.0,12.680065781855031,0.000369574567794374,0.699492267533707,0.6835626822907823,3.353563740976276,1.6557626109853016,6.792271845115744,0.0007784551274846353
3,0.6722731906218145,0.3720684349536896,124.0,69.0,55.0,46.0,6.790933063108829,0.00916220079500134,0.6745451766170464,0.6756605896109671,2.246641030420951,1.1968755635126904,4.217143430314003,0.011758427597887101
4,0.6989022477783586,0.22364391386508942,124.0,60.0,64.0,46.0,12.531705761871947,0.00040010438446767485,0.7312158894887163,0.7304945882923972,2.8666915742811474,1.5581894789830777,5.274018784556157,0.0007094819353432545
mean,0.679440766093823,0.18971391022205353,124.2,64.2,60.0,46.0,10.196037914702753,0.004620598547896813,0.7095136117919048,0.6981280926724548,2.6925228657933324,1.4257917876580852,5.093617356724394,0.005815067444127736
