fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7820962089837528,-0.3906821012496948,113,57,56,38,34.2849430062357,4.760506582975609e-09,0.8090799416358476,0.8197792043660745,11.675101223888849,4.13098144084153,32.996514397383336,3.552354210974129e-06
1,0.7619361211722094,-0.23793542385101318,113,55,58,39,20.668899321051903,5.459561472267707e-06,0.7606163601043018,0.7988498431415111,5.45633990802757,2.4023939878880154,12.39249071635709,5.03289033319519e-05
2,0.7413559322033898,0.8848305940628052,112,62,50,38,15.537861626038186,8.086921802032175e-05,0.7815401788597547,0.8136565423513982,4.894953586406436,2.0427492937583533,11.729569892049438,0.00036809945694792615
3,0.7359178263750829,-0.4795777499675751,112,45,67,38,11.85358308468847,0.0005755050700886698,0.7863789052787106,0.7149166665616324,2.982561324294897,1.5525444880907702,5.729737293466623,0.0010361335855872528
4,0.6981512605042017,-0.7486811280250549,112,70,42,38,5.437858649852501,0.019704812537120305,0.7929232950286572,0.7066593080697556,2.376452744008305,1.1220735624736236,5.0331171086987965,0.023772559848162827
