fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7637985056640154,-1.1932077407836914,125.0,51.0,74.0,46.0,26.954766686036212,2.082728777861018e-07,0.7734749642104382,0.7806386567917403,4.755143370315428,2.490805612423403,9.077941835153993,2.2881267996092006e-06
1,0.7095693779904306,-0.24557684361934662,124.0,63.0,61.0,46.0,18.17054525299558,2.019785946725648e-05,0.7762111525998382,0.7291621414889218,3.9305771220317474,1.9931683834971738,7.751194851451587,7.791982560355152e-05
2,0.7296758104738155,-0.687360405921936,124.0,58.0,66.0,46.0,21.730619420022414,3.1374340116383237e-06,0.7639600845855552,0.7568618374490624,4.2585330750239,2.197117760447709,8.254042763450745,1.7768956725319627e-05
3,0.6874391431353457,-0.6726169586181641,124.0,66.0,58.0,46.0,18.364327669537182,1.8244185030168738e-05,0.7178943935783102,0.7124741553796342,4.122925423973825,2.0418618516864306,8.325006923269662,7.780628987193393e-05
4,0.7739342265529842,-0.3910348415374756,124.0,63.0,61.0,46.0,25.848908566505358,3.692134069606241e-07,0.8358445131381144,0.7989100442187973,5.8029893374937975,2.6984496948994265,12.479271084696572,6.7654677540723396e-06
mean,0.7328834127633183,-0.6379593580961227,124.2,60.2,64.0,46.0,22.21383351901935,8.431392958762053e-06,0.7734770216224514,0.7556093670656312,4.5740336657677405,2.2842806605908286,9.177491491604512,3.650973335089733e-05
