fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6804714877349475,0.004897594451904297,113,49,64,38,8.994897441398779,0.0027073446797235235,0.710150773084823,0.6986588165021178,2.617982035297604,1.3619205007036577,5.032474313735528,0.00389692861752448
1,0.7645702996378004,-0.5899843573570251,113,51,62,39,31.227822984938303,2.2945378436694145e-08,0.8010488326154774,0.796660349445606,6.8455428611915705,3.137662818272021,14.93514752175267,1.346082445892041e-06
2,0.727457627118644,-0.12613531947135925,112,50,62,38,17.972424796303574,2.2412831203089862e-05,0.7404201982836057,0.7690815157091833,4.085304240067004,2.0204579215172918,8.260360463917042,8.934369470043798e-05
3,0.7047713717693836,0.20414318144321442,112,52,60,38,8.191127195541423,0.004209576020482942,0.7081718999030867,0.684758571435248,2.5763736065813974,1.3155747469226078,5.045476113171179,0.005783957047051796
4,0.68,0.42075809836387634,112,71,41,38,7.060254215539856,0.007881281308306886,0.7272784380001736,0.6665522140787257,2.7637661369206814,1.2638859421353983,6.043585900389084,0.01087700259402624
