fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7782733354571519,-0.09794124215841293,113.0,55.0,58.0,38.0,27.491341292233244,1.5779939721673843e-07,0.8023882105373362,0.8162734311490766,6.76929952791014,2.968440539119014,15.436865079387475,5.445941467774666e-06
1,0.7543628580836351,-0.20714813470840454,113.0,53.0,60.0,39.0,29.97828634833745,4.369115370258453e-08,0.7509974983486738,0.7967620843103065,8.870155423434895,3.458382588220874,22.750420240915954,5.574323981234475e-06
2,0.7437288135593221,-0.7832603454589844,112.0,69.0,43.0,38.0,13.294234246754959,0.0002662235560372534,0.7898933089818294,0.7659006090837814,4.878844398117579,1.9010259638297429,12.521198086684894,0.0009813313894080913
3,0.7362491716368456,-0.6666876077651978,112.0,51.0,61.0,38.0,13.087418790422005,0.00029728571384633593,0.8053295493657349,0.7213391896999974,3.301050418172735,1.6630996057802703,6.552183540567865,0.0006395660454100403
4,0.6897478991596638,-1.2949022054672241,112.0,70.0,42.0,38.0,7.175231292242646,0.007391691766798911,0.7666855140857756,0.7005384765691012,2.7912048073160887,1.2756420550675207,6.107374906177791,0.010189369849192243
mean,0.7404724155793236,-0.6099879071116447,112.4,59.6,52.8,38.2,18.20530239399806,0.001591080505446684,0.78305881626387,0.7601627581624527,5.322110914990287,2.253318150403485,12.673608370746795,0.002364257509891877
