fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7011787193373686,0.0028838126454502344,113,44,69,38,16.243556536264816,5.569869946055112e-05,0.7302804663476835,0.7375005760859246,3.5819287615608078,1.8464139581723333,6.948720028956283,0.00016078999658362085
1,0.7681922950279881,-0.022878289222717285,113,55,58,39,24.808276270203574,6.332499052189266e-07,0.8044466604910373,0.7969905877438671,5.771343800473195,2.6472597565657607,12.582221741046956,1.0425296445441968e-05
2,0.6908474576271186,-0.1333138793706894,112,61,51,38,13.784964057721249,0.00020497011408724468,0.7301735445085704,0.6963885657267059,3.7799760053705733,1.7808666693158632,8.023182671314878,0.0005344938273613817
3,0.7011265738899933,-0.31962502002716064,112,52,60,38,8.075733998054345,0.004486193205747216,0.7022812730311783,0.6890494973447738,2.5628024563377965,1.30786278493509,5.021900237445029,0.0061076809997614185
4,0.6685714285714286,-0.31253331899642944,112,72,40,38,7.241018946145909,0.007125652974954807,0.7101532887417299,0.6584573257688916,2.9332542007694515,1.2897811668167285,6.6708837341507055,0.010258547150364148
