fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7088244663905703,-0.5211700797080994,113.0,52.0,61.0,38.0,17.673139483952152,2.6230464180313406e-05,0.7190849241953435,0.773064553319383,4.052599586547478,2.002102225732358,8.203159258202785,0.00010046893251827876
1,0.7678630227197892,-0.03223495930433273,113.0,52.0,61.0,39.0,29.969708192492483,4.388486779441727e-08,0.8089975504095629,0.7932677661008897,6.642360097957266,3.0440704660761986,14.494062526682141,1.972719152084067e-06
2,0.7142372881355932,-0.9580287933349609,112.0,52.0,60.0,38.0,17.075402898267235,3.5924588040340986e-05,0.745055982559637,0.7297885473171359,3.9617881816508795,1.9592194217805303,8.011234179173428,0.00012712535177059796
3,0.6991385023194169,0.08009389787912369,112.0,59.0,53.0,38.0,6.7475558417666495,0.009387619797468471,0.6980740792457345,0.6836191740498473,2.464786935882937,1.2197160654504404,4.980810543850334,0.011959818788209339
4,0.6793277310924369,-0.11917148530483246,112.0,73.0,39.0,38.0,9.744666204440337,0.0017984378653712046,0.7257331037282484,0.6497024212093009,3.6777987773013225,1.532832097351703,8.824321900414615,0.003540134671500143
mean,0.7138782021315613,-0.31010228395462036,112.4,57.6,54.8,38.2,16.242094524183774,0.0022496513199856253,0.7393891280277053,0.7258884923993112,4.1598667158679765,1.9515880552782459,8.90271768166466,0.003145904092630088
