fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7495782116172571,-0.5601932406425476,125,56,69,46,23.456508812088522,1.2776971051830509e-06,0.7367540258884866,0.7576878208836877,4.457689970129456,2.3020495496009055,8.631873224986704,9.295752714031468e-06
1,0.7093301435406698,-0.6175093650817871,124,67,57,46,14.582070541228651,0.00013418521406141978,0.7834099964133404,0.7428537973928376,3.4625922473258837,1.7561174603761798,6.827302467952809,0.00033629980501287144
2,0.6902743142144638,-0.8400682210922241,124,63,61,46,11.920136221277412,0.0005553041996289009,0.6970517414355812,0.7083603348437435,2.9562831998537806,1.5510842480403686,5.634516867010469,0.000988216848773319
3,0.6918208373904576,-0.21118927001953125,124,67,57,46,16.616517585272224,4.5750838623072035e-05,0.7293384080455194,0.7179542999841836,3.874758506868419,1.9195088052480147,7.821664295313973,0.0001571752337968287
4,0.7705237515225335,-0.01272130012512207,124,58,66,46,35.94468158365208,2.0299971632931975e-09,0.8233900899199319,0.7900476604988597,7.397766817033975,3.4414783488671707,15.902164224634285,2.971411656850339e-07
