fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6915100453661698,-0.5108792781829834,113.0,46.0,67.0,38.0,14.42952154667568,0.00014550338710320572,0.7669178268877278,0.7009458282234482,3.3952480281234654,1.73495900946501,6.644369757203055,0.00035913593360733235
1,0.8280773143438453,-0.5385855436325073,113.0,53.0,60.0,39.0,30.6565785569784,3.079806158156192e-08,0.8699055086201359,0.9077369816188287,7.267304184511106,3.1951212930867228,16.529485194970697,2.2393182515125893e-06
2,0.7136479591836735,-0.6280149221420288,112.0,57.0,55.0,38.0,13.429037098110522,0.0002477592537958071,0.7536743507222032,0.7519223303197188,3.7106522241144457,1.7520413765452487,7.858798378081503,0.0006156728005832163
3,0.7217156366092536,-0.43283361196517944,112.0,61.0,51.0,38.0,15.290220524707161,9.219256812269064e-05,0.7088506330789268,0.7658628045910509,4.200870771126963,1.921765359660854,9.182866756856923,0.00032175816597417874
4,0.7550505050505051,-0.5469053983688354,112.0,66.0,46.0,38.0,23.504879049843634,1.2459739434810824e-06,0.7996781619220867,0.7630517892961877,10.495979341132415,3.222267993276229,34.18883300810371,9.541390880896031e-05
mean,0.7420002921106896,-0.5314437508583069,112.4,56.6,55.8,38.2,19.462047355263078,9.734639620535322e-05,0.7798052962462162,0.7779039468098468,5.814010909801679,2.3652310064068134,14.880870619043176,0.00027884402544504005
