fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.6652205350686913,-0.33442914485931396,125.0,53.0,72.0,46.0,11.391101604296948,0.0007379675455339606,0.6687220545721864,0.6352336500577649,2.7107767550447086,1.4841709155289018,4.951121558039738,0.0011757012393005808
1,0.6318181818181818,0.7981179356575012,124.0,62.0,62.0,46.0,2.347734504677586,0.12546522653298176,0.65014073526031,0.63827400565583,1.5786044201861222,0.8762438140649378,2.8439480832060777,0.12848830251260626
2,0.7184538653366583,0.3260211646556854,124.0,66.0,58.0,46.0,11.979892411243254,0.0005377768878959033,0.7095144797047013,0.7442652143447683,3.029992353548371,1.566321314090706,5.861411435808333,0.0009916906715373203
3,0.6677215189873418,-0.06828714162111282,124.0,65.0,59.0,46.0,9.261788643480044,0.0023398439346143138,0.725792373384981,0.7086788744831738,2.5307296796716434,1.361931785740379,4.7025796582677195,0.0033129033817698474
4,0.7602923264311815,-0.9172959327697754,124.0,62.0,62.0,46.0,20.09614589758816,7.364493274829958e-06,0.819693044851688,0.7764219409677937,4.214786144077072,2.1310062340930433,8.336166246770564,3.5605990737420064e-05
mean,0.6887012855284109,-0.03917462378740311,124.2,61.6,62.6,46.0,11.015332612257199,0.02581763587886015,0.7147725375547733,0.700574737101866,2.8129778705055837,1.4839348127035936,5.339045396418486,0.026800840759190286
