fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.653799169313462,0.5136322975158691,125.0,71.0,54.0,46.0,10.673174999379528,0.001087003793052174,0.7026843768973492,0.6851740058543053,2.953418321019514,1.4942820499047427,5.837371719408514,0.0018370224195559956
1,0.6203512396694215,-0.1421392858028412,124.0,56.0,68.0,46.0,4.839331513296107,0.027817676425330975,0.6380170852131447,0.6185066633289558,1.9085123076226491,1.0620767147624803,3.4295255490670553,0.030667104410821218
2,0.6786449988555734,-1.170061469078064,124.0,68.0,56.0,46.0,15.526165426447136,8.137110713804138e-05,0.7351230228696607,0.6609718341268099,3.6009218693435505,1.8230927257540104,7.112440374503604,0.00022494517922041002
3,0.7134130146082337,-0.6059232950210571,124.0,55.0,69.0,46.0,27.13174075125801,1.9005175951068579e-07,0.7383669190043328,0.7255335960713956,4.74894913143046,2.490049810340662,9.057054906796715,2.2505484610106877e-06
4,0.7016717683070403,-0.3723687529563904,124.0,58.0,66.0,46.0,9.859202296393246,0.0016898436073009642,0.6671943556651136,0.7153606446627935,2.552626851700105,1.3909087581740152,4.684637871268041,0.002485638530502195
mean,0.6735760381507462,-0.3553721010684967,124.2,61.6,62.6,46.0,13.605922997354806,0.006135216996916333,0.6962771519299202,0.681109348808852,3.152885696223256,1.6520820117871822,6.024206084208786,0.007043392217712165
