fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7024530105129022,-0.08915822207927704,113.0,50.0,63.0,38.0,16.74771551565735,4.269363804195232e-05,0.7135614276588567,0.7625752132533855,3.822101596474212,1.9184470587935423,7.614732211040305,0.00013754900402623512
1,0.77938755350675,0.8291681408882141,113.0,53.0,60.0,39.0,21.347971585526064,3.830258014898784e-06,0.8231223333057229,0.8118098636895967,4.912982004781343,2.3275244042936225,10.37041421983746,2.9626003499573682e-05
2,0.6983050847457627,-1.0445225238800049,112.0,58.0,54.0,38.0,17.116006977392505,3.51646827418031e-05,0.7374893116717703,0.6970379962644881,4.303744438736192,2.0288209073442687,9.129547180287256,0.0001425202508010965
3,0.7113982770046389,-0.07649845629930496,112.0,57.0,55.0,38.0,8.121316714851234,0.0043747773467745395,0.7114888352828435,0.696826028016515,2.675766944504531,1.3236182108360004,5.4092099086344625,0.006131403933387675
4,0.6749579831932773,-0.5176080465316772,112.0,76.0,36.0,38.0,9.07922736648625,0.0025852925265334855,0.7129907333447847,0.6235958257481297,3.8370433491286864,1.4963355985774978,9.839304549787574,0.005129533673198275
mean,0.7133003817926662,-0.17972382158041,112.4,58.8,53.6,38.2,14.48244763198268,0.0014083516904213357,0.7397305282527956,0.7183689853944231,3.910327666724993,1.818949235968986,8.472641613917412,0.0023141265729825712
