fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7719018795794839,-0.6146872639656067,113.0,54.0,59.0,38.0,26.03881331405592,3.346220817414044e-07,0.7881473735397687,0.8184363876149944,6.479360780081155,2.843912070461369,14.762100612921936,8.67888323120665e-06
1,0.7612775765558116,-0.47377029061317444,113.0,53.0,60.0,39.0,21.42845655418572,3.6727951506750617e-06,0.7705652661316342,0.7972315296752036,5.619090399156763,2.469714077155079,12.784547493152218,3.863161478336519e-05
2,0.7359322033898306,-0.6145578026771545,112.0,64.0,48.0,38.0,19.847758640400468,8.386100369986945e-06,0.7933221643225463,0.7604572267021574,7.482136947293163,2.647703311085637,21.143748645725342,0.00014643396700418426
3,0.7349237905897945,-0.2289259135723114,112.0,44.0,68.0,38.0,11.926046707925387,0.0005535451720792765,0.7899773383661122,0.7046683478631781,3.0073156375245134,1.5614707782270651,5.791941463014892,0.0009927673107190393
4,0.6857142857142857,-0.11904451251029968,112.0,65.0,47.0,38.0,8.249078377085917,0.004077269679130973,0.7707753281427179,0.6930621421342269,2.769239184215241,1.3412594931242205,5.717525727650422,0.005891741467954179
mean,0.7379499471658413,-0.41019715666770934,112.4,56.0,56.4,38.2,17.498030718730682,0.0009286416737625307,0.782557494100556,0.7547711267979521,5.071428589654166,2.172811946010674,12.039972788492964,0.0014156506487383949
