fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7604241986020728,-0.33040788769721985,125.0,55.0,70.0,46.0,25.114521215539686,5.402449925458602e-07,0.7733420729125937,0.7797935591216278,4.681131968594858,2.413677501688902,9.078676207599308,4.942031587559459e-06
1,0.7110047846889952,-0.11779706180095673,124.0,65.0,59.0,46.0,20.0285273510596,7.629542778916237e-06,0.7850949506576653,0.7466280729040785,4.349794369380749,2.1546575189948114,8.781307882620407,4.1020658489188236e-05
2,0.7209476309226933,-0.8067005276679993,124.0,61.0,63.0,46.0,19.576165837361998,9.666764505474826e-06,0.7325249734833876,0.7520498842955206,4.137289703511856,2.093563702088886,8.176090402076754,4.389974681183437e-05
3,0.6979065238558909,-0.7109087109565735,124.0,64.0,60.0,46.0,9.723461146666182,0.001819305819845825,0.7349461327447837,0.7133858007344489,2.621421510747565,1.3961813255634081,4.921889880053375,0.002714994685515527
4,0.7727161997563946,-0.05978422611951828,124.0,65.0,59.0,46.0,29.509847062966067,5.563333032639855e-08,0.8335190826189854,0.797125334311031,7.609456902481427,3.2172330284832267,17.99802309564787,3.8306409845999405e-06
mean,0.7325998675652093,-0.4051196828484535,124.2,62.0,62.2,46.0,20.79050452271871,0.00036743960109061766,0.7718854424834832,0.7577965302733415,4.679818890943291,2.2550626153638467,9.791197493599544,0.0005617375526777418
