fold,cindex,cutoff_from_train_median,n_test,n_high_risk,n_low_risk,n_event_test,logrank_stat,logrank_p,auc_36m,auc_60m,HR_high_vs_low,HR_95CI_lower,HR_95CI_upper,cox_p
0,0.7136030582988213,-0.8658502697944641,113,53,60,38,17.052454126627975,3.6361352899157894e-05,0.7296059608720419,0.7517973062034393,3.964460648319476,1.9589065885261756,8.023327056089315,0.00012850646274892633
1,0.7632532104050049,-0.9637352824211121,113,51,62,39,31.402431469333607,2.0971810926264856e-08,0.8014778792446321,0.782302681358391,6.867243426295965,3.1484223722373574,14.9786231643668,1.282923168821229e-06
2,0.7098305084745763,-0.08975342661142349,112,56,56,38,14.52063527583898,0.0001386326494203215,0.7350182722328704,0.726286796231344,3.7345628713131127,1.8069741184516888,7.71840597901919,0.00037470468691942397
3,0.6805831676607025,-0.9869385361671448,112,44,68,38,6.510677500023851,0.01072286464508671,0.6955093326058115,0.6684358485491924,2.255213166806202,1.1871766837462852,4.284102355924469,0.012989862165918001
4,0.6715966386554622,-0.261893630027771,112,74,38,38,10.492965196353158,0.0011982990795688661,0.7084841160729282,0.6416869021775724,4.190094823012643,1.6332313989295963,10.749790040372705,0.0028780836348801897
